"KP001-A05","KP002-A06","KP003-A07","KP004-A08","KP005-A09","KP007-A11","KP008-A12","KP009-B01","KP010-B02","KP011-B03","KP012-B04","KP013-B05","KP014-B06","KP015-B07","KP016-B08","KP017-B09","KP019-B11","KP020-B12","KP021-C01","KP022-C02","KP023-C03","KP024-C04","KP027-C07","KP028-C08","KP029-C09","KP031-C11","KP032-C12","KP033-D01","KP034-D02","KP035-D03","KP036-D04","KP037-D05","KP038-D06","KP039-D07","KP040-D08","KP041-D09","KP042-D10","KP043-D11","KP044-D12","KP045-E01","KP046-E02","KP047-E03","KP048-E04","KP049-E05","KP050-E06","KP052-E08","KP053-E09","KP054-E10","KP055-E11","KP056-E12","KP057-F01","KP058-F02","KP059-F03","KP060-F04","KP061-F05","KP062-F06","KP063-F07","KP064-F08","KP065-F09","KP066-F10","KP067-F11","KP069-G01","KP070-G02","KP071-G03","KP072-G04","KP074-G06","KP075-G07","KP076-G08","KP077-G09","KP078-G10","KP079-G11","KP081-H01","KP083-H03","KP084-H04","KP085-H05","KP086-H06","KP088-H08","KP089-H09","KP091-H11","KP092-H12","KP094-A02","KP095-A03","KP096-A04","KP097-A05","KP098-A06","KP100-A08","KP102-A10","KP104-A12","KP107-B03","KP108-B04","KP109-B05","KP110-B06","KP143-E03","KP144-E04","KP145-E05","KP146-E06","KP147-E07","KP148-E08","KP149-E09","KP150-E10","KP191-A03","KP192-A04","KP193-A05","KP194-A06","KP195-A07","KP196-A08","KP197-A09","KP198-A10"
"KP033-D01",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP034-D02",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP035-D03",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP036-D04",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP037-D05",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP038-D06",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP039-D07",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP040-D08",104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,104579.943280913,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,162156.201087459,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,151327.851809142,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,43965.2671728006,0,0,0,0,0,0,0,0,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,144540.434882738,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,137979.248708724,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,155817.215838462,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,178242.406487052,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,215558.607109925,248170.146895122,248170.146895122,248170.146895122,248170.146895122,248170.146895122,149313.892527975,149313.892527975,149313.892527975,149313.892527975,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,630778.166443488,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085,870205.621597085
"KP041-D09",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP042-D10",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP043-D11",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP044-D12",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP045-E01",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP046-E02",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP047-E03",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP048-E04",149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,149492.393170295,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,207868.620706332,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,196813.913238031,90900.727204124,90900.727204124,90900.727204124,90900.727204124,90900.727204124,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,47167.8513798425,0,0,0,0,0,0,0,0,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,191703.771980586,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,183967.835782714,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,194656.180171735,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,211609.338298865,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,243316.361767755,276686.935586439,276686.935586439,276686.935586439,276686.935586439,276686.935586439,195891.628867178,195891.628867178,195891.628867178,195891.628867178,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,604878.520674141,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412,914316.776694412
"KP049-E05",120162.097365888,120162.097365888,120162.097365888,120162.097365888,120162.097365888,120162.097365888,120162.097365888,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,178778.348752091,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,167616.846870754,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,64035.6046265362,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,24044.9272569186,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,30033.7407266315,0,0,0,0,0,0,0,165027.578772663,165027.578772663,165027.578772663,165027.578772663,165027.578772663,165027.578772663,165027.578772663,165027.578772663,160995.72736987,160995.72736987,160995.72736987,160995.72736987,160995.72736987,160995.72736987,160995.72736987,179741.957436088,179741.957436088,179741.957436088,179741.957436088,179741.957436088,179741.957436088,201354.686120383,201354.686120383,201354.686120383,201354.686120383,201354.686120383,201354.686120383,237436.849039363,237436.849039363,237436.849039363,237436.849039363,237436.849039363,237436.849039363,270320.024498582,270320.024498582,270320.024498582,270320.024498582,270320.024498582,171752.289328421,171752.289328421,171752.289328421,171752.289328421,630377.61768077,630377.61768077,630377.61768077,630377.61768077,630377.61768077,630377.61768077,630377.61768077,630377.61768077,893757.048982442,893757.048982442,893757.048982442,893757.048982442,893757.048982442,893757.048982442,893757.048982442,893757.048982442
